Index,Date,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Rented Bike Count
86,04/12/2017,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,Winter,No Holiday,Yes,338
87,04/12/2017,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,Winter,No Holiday,Yes,341
88,04/12/2017,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,Winter,No Holiday,Yes,375
89,04/12/2017,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,Winter,No Holiday,Yes,515
90,04/12/2017,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,807
91,04/12/2017,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,568
92,04/12/2017,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes,398
93,04/12/2017,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,397
94,04/12/2017,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,353
95,04/12/2017,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes,248
96,05/12/2017,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,216
97,05/12/2017,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,198
98,05/12/2017,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,124
99,05/12/2017,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,62
100,05/12/2017,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,42
101,05/12/2017,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes,82
102,05/12/2017,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes,172
103,05/12/2017,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,381
104,05/12/2017,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,Winter,No Holiday,Yes,812
105,05/12/2017,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,Winter,No Holiday,Yes,462
106,05/12/2017,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,Winter,No Holiday,Yes,269
107,05/12/2017,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,334
108,05/12/2017,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,Winter,No Holiday,Yes,321
109,05/12/2017,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,Winter,No Holiday,Yes,325
110,05/12/2017,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,334
111,05/12/2017,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,353
112,05/12/2017,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,Winter,No Holiday,Yes,435
113,05/12/2017,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,Winter,No Holiday,Yes,529
114,05/12/2017,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,Winter,No Holiday,Yes,789
115,05/12/2017,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,597
116,05/12/2017,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,418
117,05/12/2017,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,415
118,05/12/2017,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes,393
119,05/12/2017,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,244
120,06/12/2017,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,Winter,No Holiday,Yes,145
121,06/12/2017,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,Winter,No Holiday,Yes,144
122,06/12/2017,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,Winter,No Holiday,Yes,117
123,06/12/2017,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,Winter,No Holiday,Yes,78
124,06/12/2017,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes,58
125,06/12/2017,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,Winter,No Holiday,Yes,87
126,06/12/2017,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,Winter,No Holiday,Yes,142
127,06/12/2017,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,Winter,No Holiday,Yes,379
128,06/12/2017,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,Winter,No Holiday,Yes,802
129,06/12/2017,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,Winter,No Holiday,Yes,440
130,06/12/2017,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,Winter,No Holiday,Yes,307
131,06/12/2017,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,Winter,No Holiday,Yes,381
132,06/12/2017,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,Winter,No Holiday,Yes,405
133,06/12/2017,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,Winter,No Holiday,Yes,442
134,06/12/2017,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,Winter,No Holiday,Yes,416
135,06/12/2017,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,Winter,No Holiday,Yes,412
136,06/12/2017,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,Winter,No Holiday,Yes,496
137,06/12/2017,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,Winter,No Holiday,Yes,239
138,06/12/2017,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,Winter,No Holiday,Yes,204
139,06/12/2017,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,Winter,No Holiday,Yes,205
140,06/12/2017,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,Winter,No Holiday,Yes,190
141,06/12/2017,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,Winter,No Holiday,Yes,165
142,06/12/2017,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes,222
143,06/12/2017,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,Winter,No Holiday,Yes,193
144,07/12/2017,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,Winter,No Holiday,Yes,198
145,07/12/2017,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes,218
146,07/12/2017,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,Winter,No Holiday,Yes,149
147,07/12/2017,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,Winter,No Holiday,Yes,102
148,07/12/2017,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,Winter,No Holiday,Yes,62
149,07/12/2017,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,Winter,No Holiday,Yes,83
150,07/12/2017,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,Winter,No Holiday,Yes,137
151,07/12/2017,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,Winter,No Holiday,Yes,367
152,07/12/2017,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,Winter,No Holiday,Yes,754
153,07/12/2017,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,Winter,No Holiday,Yes,415
154,07/12/2017,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,Winter,No Holiday,Yes,321
155,07/12/2017,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,Winter,No Holiday,Yes,333
156,07/12/2017,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,Winter,No Holiday,Yes,431
157,07/12/2017,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,Winter,No Holiday,Yes,394
158,07/12/2017,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,Winter,No Holiday,Yes,390
159,07/12/2017,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,Winter,No Holiday,Yes,430
160,07/12/2017,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,Winter,No Holiday,Yes,471
161,07/12/2017,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,Winter,No Holiday,Yes,552
162,07/12/2017,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,Winter,No Holiday,Yes,795
163,07/12/2017,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,Winter,No Holiday,Yes,507
164,07/12/2017,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,Winter,No Holiday,Yes,390
165,07/12/2017,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,402
166,07/12/2017,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,Winter,No Holiday,Yes,389
167,07/12/2017,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,Winter,No Holiday,Yes,259
168,08/12/2017,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,233
169,08/12/2017,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,Winter,No Holiday,Yes,230
170,08/12/2017,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes,131
171,08/12/2017,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,99
172,08/12/2017,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,71
173,08/12/2017,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,Winter,No Holiday,Yes,84
174,08/12/2017,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,Winter,No Holiday,Yes,158
175,08/12/2017,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,Winter,No Holiday,Yes,387
176,08/12/2017,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,Winter,No Holiday,Yes,780
177,08/12/2017,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,Winter,No Holiday,Yes,395
178,08/12/2017,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,Winter,No Holiday,Yes,261
179,08/12/2017,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,Winter,No Holiday,Yes,310
180,08/12/2017,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,Winter,No Holiday,Yes,355
181,08/12/2017,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,Winter,No Holiday,Yes,354
182,08/12/2017,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,Winter,No Holiday,Yes,350
183,08/12/2017,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,Winter,No Holiday,Yes,362
184,08/12/2017,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,Winter,No Holiday,Yes,401
185,08/12/2017,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,Winter,No Holiday,Yes,500
186,08/12/2017,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes,752
187,08/12/2017,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,477
188,08/12/2017,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,384
189,08/12/2017,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,Winter,No Holiday,Yes,336
190,08/12/2017,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,Winter,No Holiday,Yes,347
191,08/12/2017,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,Winter,No Holiday,Yes,275
192,09/12/2017,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,267
193,09/12/2017,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,296
194,09/12/2017,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,Winter,No Holiday,Yes,237
195,09/12/2017,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,Winter,No Holiday,Yes,169
196,09/12/2017,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,Winter,No Holiday,Yes,96
197,09/12/2017,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,Winter,No Holiday,Yes,56
198,09/12/2017,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes,76
199,09/12/2017,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes,127
200,09/12/2017,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,Winter,No Holiday,Yes,222
201,09/12/2017,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,Winter,No Holiday,Yes,291
202,09/12/2017,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,Winter,No Holiday,Yes,273
203,09/12/2017,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,Winter,No Holiday,Yes,351
204,09/12/2017,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,Winter,No Holiday,Yes,427
205,09/12/2017,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,Winter,No Holiday,Yes,431
206,09/12/2017,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,Winter,No Holiday,Yes,486
207,09/12/2017,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,Winter,No Holiday,Yes,569
208,09/12/2017,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,Winter,No Holiday,Yes,546
209,09/12/2017,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,Winter,No Holiday,Yes,481
210,09/12/2017,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,Winter,No Holiday,Yes,384
211,09/12/2017,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,275
212,09/12/2017,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,Winter,No Holiday,Yes,298
213,09/12/2017,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,Winter,No Holiday,Yes,321
214,09/12/2017,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,289
215,09/12/2017,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,265
216,10/12/2017,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes,326
217,10/12/2017,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,Winter,No Holiday,Yes,280
218,10/12/2017,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,Winter,No Holiday,Yes,243
219,10/12/2017,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,Winter,No Holiday,Yes,169
220,10/12/2017,4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,Winter,No Holiday,Yes,71
221,10/12/2017,5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,Winter,No Holiday,Yes,13
222,10/12/2017,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,Winter,No Holiday,Yes,9
223,10/12/2017,7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,Winter,No Holiday,Yes,20
224,10/12/2017,8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,Winter,No Holiday,Yes,35
225,10/12/2017,9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,Winter,No Holiday,Yes,31
226,10/12/2017,10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,Winter,No Holiday,Yes,19
227,10/12/2017,11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,Winter,No Holiday,Yes,58
228,10/12/2017,12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,Winter,No Holiday,Yes,119
229,10/12/2017,13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,Winter,No Holiday,Yes,182
230,10/12/2017,14,4.2,85,0.7,325,1.8,0.65,0.0,1.4,Winter,No Holiday,Yes,235
231,10/12/2017,15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,Winter,No Holiday,Yes,180
232,10/12/2017,16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,Winter,No Holiday,Yes,214
233,10/12/2017,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,Winter,No Holiday,Yes,226
234,10/12/2017,18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,Winter,No Holiday,Yes,210
235,10/12/2017,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,181
236,10/12/2017,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,165
237,10/12/2017,21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,Winter,No Holiday,Yes,167
238,10/12/2017,22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,Winter,No Holiday,Yes,152
239,10/12/2017,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes,148
240,11/12/2017,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes,125
